Time,GPU Util%,GPU Memory
463,48,1291
464,49,1291
465,49,1291
466,48,1219
467,50,1219
468,44,1205
469,49,1218
470,42,1218
471,49,1219
472,47,1219
473,46,1205
474,49,1219
475,49,1219
476,46,1219
477,44,1219
478,45,1219
479,48,1219
480,34,1219
481,38,1219
482,34,1219
483,37,1219
484,41,1219
485,35,1219
486,41,1219
487,44,1219
488,42,1219
489,42,1219
490,47,1219
491,50,1219
492,43,1215
493,47,1201
494,49,1215
495,44,1215
496,47,1215
497,44,1215
498,48,1215
499,50,1203
500,47,1215
501,45,1215
502,44,1215
503,45,1215
504,36,1215
505,41,1215
506,37,1215
507,46,1215
508,49,1215
509,49,1215
510,48,1215
511,48,1215
512,48,1215
513,50,1215
514,49,1215
515,48,1215
516,47,1215
517,48,1215
518,49,1215
519,48,1214
520,48,1214
521,49,1214
522,42,1214
523,43,1214
524,44,1214
525,45,1214
526,47,1214
527,47,1214
528,45,1214
529,45,1214
530,44,1214
531,38,1214
532,34,1214
533,42,1214
534,47,1214
535,43,1214
536,43,1214
537,43,1214
538,42,1214
539,32,1214
540,38,1214
541,41,1214
542,44,1214
543,43,1214
544,48,1214
545,49,1214
546,49,1214
547,50,1214
548,49,1214
549,50,1214
550,45,1214
551,45,1214
552,50,1214
553,48,1214
554,50,1214
555,48,1202
556,49,1214
557,47,1214
558,49,1200
559,49,1214
560,48,1214
561,48,1214
562,47,1214
563,49,1214
564,40,1214
565,44,1214
566,44,1214
567,45,1214
568,47,1214
569,37,1214
570,40,1214
571,37,1214
572,38,1214
573,46,1214
574,43,1214
575,42,1214
576,41,1215
577,41,1215
578,33,1215
579,41,1215
580,50,1215
581,49,1215
582,49,1215
583,50,1215
584,49,1215
585,48,1215
586,48,1215
587,45,1215
588,44,1215
589,48,1215
590,46,1215
591,47,1215
592,49,1215
593,49,1215
594,49,1215
595,48,1215
596,48,1215
597,45,1215
598,50,1215
599,49,1215
600,49,1215
601,44,1215
602,46,1215
603,47,1215
604,37,1215
605,35,1201
606,37,1215
607,35,1215
608,41,1215
609,48,1215
610,43,1215
611,43,1215
612,43,1215
613,42,1215
614,48,1215
615,49,1215
616,46,1214
617,47,1214
618,50,1214
619,44,1214
620,48,1214
621,46,1214
622,47,1214
623,46,1214
624,48,1214
625,48,1214
626,43,1214
627,38,1214
628,39,1214
629,34,1214
630,41,1214
631,46,1214
632,41,1214
633,49,1214
634,41,1214
635,44,1214
636,50,1214
637,46,1214
638,49,1214
639,46,1214
640,44,1214
641,44,1214
642,49,1214
643,35,1214
644,43,1214
645,45,1214
646,50,1214
647,48,1214
648,50,1214
649,46,1214
650,47,1214
651,48,1214
652,48,1200
653,49,1214
654,48,1214
655,46,1214
656,50,1214
657,45,1214
658,48,1214
659,43,1214
660,48,1214
661,35,1214
662,41,1214
663,44,1214
664,47,1214
665,46,1214
666,48,1214
667,43,1214
668,45,1214
669,49,1214
670,44,1214
671,46,1214
672,44,1214
673,44,1214
674,38,1214
675,47,1214
676,48,1214
677,49,1214
678,44,1214
679,48,1214
680,46,1214
681,42,1214
682,42,1214
683,36,1214
684,42,1214
685,48,1214
686,43,1214
687,44,1214
688,49,1214
689,45,1214
690,46,1214
691,49,1214
692,48,1214
693,46,1214
694,46,1214
695,48,1214
696,49,1214
697,48,1214
698,46,1214
699,45,1214
700,49,1214
701,36,1214
702,37,1214
703,43,1214
704,34,1200
705,49,1215
706,50,1215
707,50,1215
708,50,1215
709,48,1215
710,0,1165
711,0,428
712,0,428
713,0,428
714,0,428
715,0,428
716,0,428
717,0,428
718,0,428
719,0,428
720,0,428
721,0,428
