Fill,0.013453181231751205
NoOp,0.0019182453996061655
Tile,0.0007129761662253005
MaxPool,0.0006960005432199362
ExpandDims,0.00020370747606437156
Relu,0.011119033068513615
Range,0.0006111224281931147
Neg,0.00020370747606437156
BiasAddGrad,0.004294832620357167
MaxPoolGrad,0.0006960005432199362
RandomUniformInt,0.00020370747606437156
AvgPoolGrad,0.000509268690160929
Identity,0.08214503972295784
BroadcastGradientArgs,0.0004753174441502003
Equal,0.00020370747606437156
ZerosLike,0.04748081754600394
LogicalAnd,0.00020370747606437156
ShapeN,0.011085081822502885
FloorMod,0.0029028315339172947
ApplyGradientDescent,0.01524410945881714
Reshape,0.07100903103143885
GreaterEqual,0.00011882936103755007
Mean,0.000509268690160929
Merge,0.0004922930671555646
TruncatedNormal,0.00020370747606437156
Transpose,0.00020370747606437156
Conv2DBackpropFilter,0.011085081822502885
AvgPool,0.000509268690160929
FusedBatchNormV3,0.009455422013987913
FloorDiv,0.00010185373803218578
VariableV2,0.08029469681537313
FusedBatchNormGradV3,0.009455422013987913
Switch,0.0027670265498743805
ConcatOffset,0.0029028315339172947
BiasAdd,0.004294832620357167
Select,0.00020370747606437156
SplitV,0.00040741495212874313
AddV2,0.0011882936103755008
Add,0.00020370747606437156
Sum,0.001425952332450601
Conv2DBackpropInput,0.011085081822502885
IsVariableInitialized,0.08029469681537313
Cast,0.00040741495212874313
Slice,0.007197664154274462
AssignSub,0.018910844027975826
Assert,8.487811502682148e-05
RealDiv,0.0003395124601072859
Assign,0.16058939363074626
Const,0.17455184355265838
MatMul,0.0009676105113057649
ConcatV2,0.003310246486046038
AddN,0.019963332654308413
L2Loss,0.015702451279961973
Mul,0.037601004956881914
DivNoNan,0.0008148299042574863
Greater,0.00028858559109119303
ReluGrad,0.011119033068513615
SparseSoftmaxCrossEntropyWithLogits,0.00020370747606437156
Sub,0.03782168805595165
ApplyAdam,0.01524410945881714
Maximum,0.00010185373803218578
Less,3.3951246010728594e-05
LessEqual,0.0003734637061180145
Pack,0.0005262443131662932
Pad,6.790249202145719e-05
Conv2D,0.011085081822502885
RandomUniform,0.00011882936103755007
